チーム名,FG%,3P%,FT%,ORB,DRB,APG,SPG,BPG
ミルウォーキー バックス,47.6,35.5,74.2,9.5,42.2,25.9,7.2,5.9
ヒューストン ロケッツ,45.1,34.5,79.1,9.8,34.5,21.6,8.7,5.2
ダラス マーベリックス,46.1,36.7,77.9,10.5,36.4,24.7,6.1,4.8
LA クリッパーズ,46.6,37.1,79.1,10.7,37,23.7,7.1,4.7
ニューオーリンズ ペリカンズ,46.5,37,72.9,11.1,35.4,26.8,7.5,5
ポートランド トレイルブレイザーズ,46.3,37.7,80.4,10.2,35.1,20.6,6.3,6.1
ワシントン ウィザーズ,45.7,36.8,78.8,10.2,31.9,25,8,4.3
サンアントニオ スパーズ,47.2,37.6,81,9,35.6,24.7,7.3,5.5
ボストン セルティックス,46.1,36.4,80.1,10.7,35.4,23,8.3,5.6
フェニックス サンズ,46.8,35.8,83.4,9.8,33.8,27.2,7.7,4
ロサンゼルス レイカーズ,48,34.9,72.9,10.7,35.1,25.4,8.6,6.6
ミネソタ ティンバーウルブズ,44.1,33.6,75.3,10.5,34.3,23.8,8.7,5.7
トロント ラプターズ,45.8,37.4,79.6,9.5,35.9,25.2,8.8,5
メンフィス グリズリーズ,46.8,34.7,76.3,10.3,36.2,26.9,7.9,5.5
マイアミ ヒート,46.8,37.9,78.3,8.5,35.9,25.9,7.5,4.5
アトランタ ホークス,44.9,33.3,79,9.9,33.4,24,7.8,5.1
ブルックリン ネッツ,44.8,34.3,74.5,10.6,37.3,24.5,6.4,4.5
ユタ ジャズ,47.1,38,77.9,9.1,35.8,22.4,6.1,4.1
デンバー ナゲッツ,47.3,35.9,77.7,10.8,33.4,26.7,8,4.6
フィラデルフィア 76ers,46.8,36.8,75.5,10.5,35,25.8,8,5.3
オクラホマシティ サンダー,46.8,35.5,79.6,8.2,34.7,21.7,7.6,4.9
サクラメント キングス,46.2,36.4,77,9.7,32.9,23.8,7.7,4.1
インディアナ ペイサーズ,47.6,36.3,78.7,8.7,34.1,25.9,7.4,5.2
オーランド マジック,44.4,34.3,77.4,10.3,34.2,23.9,8.2,5.4
デトロイト ピストンズ,45.9,36.7,74.3,9.8,32,24.1,7.4,4.5
クリーブランド キャバリアーズ,45.8,35.1,75.8,10.8,33.4,23.1,6.9,3.2
シカゴ ブルズ,44.7,34.8,75.5,10.5,31.4,23.2,10,4.1
ゴールデンステイト ウォリアーズ,43.8,33.4,80.3,10,32.9,25.6,8.2,4.6
ニューヨーク ニックス,44.7,33.7,69.4,12,34.5,22.1,7.6,4.7
シャーロット ホーネッツ,43.4,35.2,74.8,11,31.8,23.8,6.6,4.1
